Position,Song,Artist,Country of Origin,Year
84,Good Riddance (Time of Your Life) ,Green Day , United States,1998
5,Got the Life ,Korn , United States,1998
7,Harpoon ,Jebediah , Australia,1998
85,Harpoon ,Something for Kate , Australia,1998
9,Heavy Heart ,You Am I , Australia,1998
71,Hello ,Happyland , Australia,1998
59,History Repeating ,Propellerheads and Shirley Bassey , United Kingdom,1998
58,I Don't Like It ,Pauline Pantsdown , Australia,1998
27,I Like Your Old Remix Better Than Your New Remix ,Regurgitator , Australia,1998
57,I Think I'm Paranoid ,Garbage , United States,1998
70,If You Tolerate This Your Children Will Be Next ,Manic Street Preachers , United Kingdom,1998
25,Intergalactic - Remastered,Beastie Boys , United States,1998
50,It's Like That ,Run–D.M.C. vs. Jason Nevins , United States,1998
14,Josie ,Blink-182 , United States,1998
18,Just Ace ,Grinspoon , Australia,1998
49,Malibu ,Hole , United States,1998
86,Mama's Trippin' ,Ben Harper , United States,1998
43,Melbourne ,The Whitlams , Australia,1998
72,Mr Charisma ,Frenzal Rhomb , Australia,1998
54,Mum Changed The Locks ,Frenzal Rhomb , Australia,1998
24,Music Is Crap ,Custard , Australia,1998
73,"Music Sounds Better With You - 12"" Club Mix",Stardust , France,1998
74,My Hero ,Foo Fighters , United States,1998
30,Never There ,Cake , United States,1998
66,No Shelter ,Rage Against the Machine , United States,1998
90,No Substitute ,Chef , United States,1998
55,No Surprises ,Radiohead , United Kingdom,1998
83,Now and Then ,The Superjesus , Australia,1998
34,One Week ,Barenaked Ladies , Canada,1998
94,Perfect ,The Smashing Pumpkins , United States,1998
26,Polyester Girl ,Regurgitator , Australia,1998
1,Pretty Fly (For A White Guy) ,The Offspring , United States,1998
41,Pure Morning ,Placebo , United Kingdom,1998
87,Push It ,Garbage , United States,1998
96,Redneck Wonderland ,Midnight Oil , Australia,1998
48,Road Rage ,Catatonia , United Kingdom,1998
65,Rumble ,You Am I , Australia,1998
76,Saint Joe On The School Bus ,Marcy Playground , United States,1998
99,Saturation ,The Superjesus , Australia,1998
10,Save The Day ,The Living End , Australia,1998
15,Second Solution ,The Living End , Australia,1998
21,Sex And Candy ,Marcy Playground , United States,1998
78,Shimmer - Single Version,Fuel , United States,1998
100,Sich Offnen ,Not from There , Australia,1998
20,Simultaneous ,Chef , United States,1998
39,Somebody Kill Me ,Adam Sandler , United States,1998
40,Song for the Dumped ,Ben Folds Five , United States,1998
89,Special ,Garbage , United States,1998
33,Sweater ,Eskimo Joe , Australia,1998
11,Sweetest Thing ,U2 , Ireland,1998
17,Tainted Love ,The Living End , Australia,1998
23,Teardrop ,Massive Attack , United Kingdom,1998
42,Teflon ,Jebediah , Australia,1998
92,The Ballad of Tom Jones ,Space with Cerys Matthews , United Kingdom,1998
8,The Day You Come ,Powderfinger , Australia,1998
44,The Dope Show ,Marilyn Manson , United States,1998
52,The Grouch ,Green Day , United States,1998
38,The Impression That I Get ,The Mighty Mighty Bosstones , United States,1998
63,The Rockafeller Skank ,Fatboy Slim , United Kingdom,1998
67,The Unforgiven II ,Metallica , United States,1998
31,Throw Your Arms Around Me ,Paul McDermott , Australia,1998
95,Tropicalia ,Beck , United States,1998
93,Untitled ,Silverchair , Australia,1998
60,Untouchable Face ,Ani DiFranco , United States,1998
36,Whatareya? ,TISM , Australia,1998
88,Wishlist ,Pearl Jam , United States,1998
1,No Aphrodisiac - Original,The Whitlams , Australia,1997
2,Song 2 ,Blur , United Kingdom,1997
3,Tubthumping ,Chumbawamba , United Kingdom,1997
4,Bitter Sweet Symphony ,The Verve , United Kingdom,1997
5,Back Door Man ,Pauline Pantsdown , Australia,1997
6,Dammit ,Blink-182 , United States,1997
7,Paranoid Android ,Radiohead , United Kingdom,1997
8,The Beautiful People ,Marilyn Manson , United States,1997
9,Karma Police ,Radiohead , United Kingdom,1997
10,Leaving Home ,Jebediah , Australia,1997
11,Walkin' On The Sun ,Smash Mouth , United States,1997
12,One Angry Dwarf and 200 Solemn Faces ,Ben Folds Five , United States,1997
13,Freak ,Silverchair , Australia,1997
14,Down Again ,The Superjesus , Australia,1997
15,Prisoner of Society ,The Living End , Australia,1997
16,Everybody's Free (To Wear Sunscreen) ,Quindon Tarver , United States,1997
17,Crazy ,Cordrazine , Australia,1997
18,Into My Arms - 2011 - Remaster,Nick Cave and the Bad Seeds , Australia,1997
19,Everyday Formula ,Regurgitator , Australia,1997
20,I Will Survive ,Cake , United States,1997
21,Monkey Wrench ,Foo Fighters , United States,1997
22,The Drugs Don't Work ,The Verve , United Kingdom,1997
23,Calypso ,Spiderbait , Australia,1997
24,A.D.I.D.A.S. ,Korn , United States,1997
25,Hitchin' a Ride ,Green Day , United States,1997
26,The Perfect Drug ,Nine Inch Nails , United States,1997
27,The Door ,Silverchair , Australia,1997
28,Cows With Guns ,Dana Lyons , United States,1997
29,Semi-Charmed Life ,Third Eye Blind , United States,1997
30,Forty Six & 2 ,Tool , United States,1997
31,Ashes to Ashes ,Faith No More , United States,1997
32,Coma ,Pendulum , Australia,1997
33,Military Strongmen ,Jebediah , Australia,1997
34,DCx3 ,Grinspoon , Australia,1997
35,Summertime ,The Sundays , United Kingdom,1997
36,Mutilated Lips ,Ween , United States,1997
37,Naughty Boy ,The Mavis's , Australia,1997
38,The Memory Remains ,Metallica , United States,1997
39,Captain (Million Miles an Hour) ,Something for Kate , Australia,1997
40,Why's Everybody Always Pickin' on Me? ,Bloodhound Gang , United States,1997
41,Deadweight ,Beck , United States,1997
42,Brimful of Asha ,Cornershop , United Kingdom,1997
43,You're Not The Only One Who Feels This Way ,Ammonia , Australia,1997
44,Temptation ,The Tea Party , Canada,1997
45,Wrong Number ,The Cure , United Kingdom,1997
46,Fire Water Burn ,Bloodhound Gang , United States,1997
47,(Can't You) Trip Like I Do ,Filter and The Crystal Method , United States,1997
48,Anatomically Correct ,Custard , Australia,1997
49,From Here On In ,The Living End , Australia,1997
50,Eat Me ,Arkarna , United Kingdom,1997
51,So Much for the Afterglow ,Everclear , United States,1997
52,#1 Crush ,Garbage , United States,1997
53,You Sound Like Louis Burdett - Original,The Whitlams , Australia,1997
54,Everything To Everyone ,Everclear , United States,1997
55,Love Rollercoaster ,Red Hot Chili Peppers , United States,1997
56,Funky Shit ,The Prodigy , United Kingdom,1997
57,Girl At The Bus Stop ,My Drug Hell , United Kingdom,1997
58,I Go Off ,Diana Ah Naid , Australia,1997
59,Your Woman ,White Town , United Kingdom,1997
60,New York City ,They Might Be Giants , United States,1997
61,Block Rockin' Beats ,The Chemical Brothers , United Kingdom,1997
62,The End Is the Beginning Is the End ,The Smashing Pumpkins , United States,1997
63,Repeat ,Grinspoon , Australia,1997
64,Stripsearch ,Faith No More , United States,1997
65,The Outdoor Type ,The Lemonheads , United States,1997
66,Jc,Powderfinger , Australia,1997
67,I Choose ,The Offspring , United States,1997
68,Cosmic Girl ,Jamiroquai , United Kingdom,1997
69,Waving My Dick in the Wind ,Ween , United States,1997
70,Place Your Hands ,Reef , United Kingdom,1997
71,Sick with Love ,Robyn Loau , Australia,1997
72,Pulse ,Front End Loader , Australia,1997
73,Lakini's Juice ,Live , United States,1997
74,The Ghost of Tom Joad ,Rage Against the Machine , United States,1997
75,Female Of The Species ,Space , United Kingdom,1997
76,Legend Of A Cowgirl ,Imani Coppola , United States,1997
77,Lovefool ,The Cardigans , Sweden,1997
78,Degenerate Boy ,The Mark of Cain , Australia,1997
79,All Mine ,Portishead , United Kingdom,1997
80,Faded ,Ben Harper , United States,1997
81,Did It Again ,Kylie Minogue , Australia,1997
82,Shake Hands With Beef ,Primus , United States,1997
83,I Wanna Be A Drug-Sniffing Dog ,Lard , United States,1997
84,Feelin' Kinda Sporty ,Dave Graney , Australia,1997
85,Nightmare - Sinister Strings Mix,Brainbug , United Kingdom,1997
86,Smokin' Johnny Cash ,The Blackeyed Susans , Australia,1997
87,6 Underground ,Sneaker Pimps , United Kingdom,1997
88,Nothing ,Beaverloop , Australia,1997
89,Not If You Were The Last Junkie On Earth ,The Dandy Warhols , United States,1997
90,Society ,Pennywise , United States,1997
91,Remember Me ,Blue Boy , United Kingdom,1997
92,Titanic Days ,Sidewinder , Australia,1997
93,Weightlessness ,Skunkhour , Australia,1997
94,Way of All Things ,Rebecca's Empire , Australia,1997
95,Don't Leave ,Faithless , United Kingdom,1997
96,Bound For The Floor ,Local H , United States,1997
97,"The Futures Overrated - 7"" Mix",Arkarna , United Kingdom,1997
98,Da Funk ,Daft Punk , France,1997
99,Naked Eye ,Luscious Jackson , United States,1997
100,I Give In ,Effigy , Australia,1997
1,Buy Me A Pony ,Spiderbait , Australia,1996
2,Stinkfist ,Tool , United States,1996
3,Underground ,Ben Folds Five , United States,1996
4,Pepper ,Butthole Surfers , United States,1996
5,Glycerine ,Bush , United Kingdom,1996
6,Pick You Up ,Powderfinger , Australia,1996
7,Breathe ,The Prodigy , United Kingdom,1996
8,Ballad of the Skeletons ,Allen Ginsberg , United States,1996
9,El Scorcho ,Weezer , United States,1996
10,You're Gorgeous ,Babybird , United Kingdom,1996
11,Down ,311, United States,1996
12,Born Slippy ,Underworld , United Kingdom,1996
13,1979,The Smashing Pumpkins , United States,1996
14,Scooby Snacks ,Fun Lovin' Criminals , United States,1996
15,Kong Foo Sing ,Regurgitator , Australia,1996
16,Spaceman ,Babylon Zoo , United Kingdom,1996
17,Firestarter ,The Prodigy , United Kingdom,1996
18,Daf,Powderfinger , Australia,1996
19,Swallowed ,Bush , United Kingdom,1996
20,Dogs Are The Best People ,The Fauves , Australia,1996
21,Down In The Park ,Foo Fighters , United States,1996
22,Oh Yeah ,Ash , United Kingdom,1996
23,I Sucked a Lot of Cock to Get Where I Am ,Regurgitator , Australia,1996
24,Santa Monica ,Everclear , United States,1996
25,Just A Girl ,No Doubt , United States,1996
26,Setting Sun ,The Chemical Brothers , United Kingdom,1996
27,The Distance ,Cake , United States,1996
28,Zero ,The Smashing Pumpkins , United States,1996
29,Devils Haircut ,Beck , United States,1996
30,Self Abuser ,The Fauves , Australia,1996
31,Muppet Song (Mah-Na-Mah-Na),Skin , United Kingdom,1996
32,Living Type ,Powderfinger , Australia,1996
33,California Love ,2Pac , United States,1996
34,Mother Mother ,Tracy Bonham , United States,1996
35,Killing Me Softly With His Song,Fugees , United States,1996
36,Standing Outside a Broken Phone Booth with Money in My Hand ,Primitive Radio Gods , United States,1996
37,Virtual Insanity ,Jamiroquai , United Kingdom,1996
38,Comedown ,Bush , United Kingdom,1996
39,Novocaine For The Soul ,Eels , United States,1996
40,Milk  ,Garbage featuring Tricky , United States/ United Kingdom,1996
41,Whoever You Are ,Geggy Tah , United States,1996
42,Coppertone ,Fini Scad , Australia,1996
43,Where It's At ,Beck , United States,1996
44,Salvation ,The Cranberries , Ireland,1996
45,Aneurysm ,Nirvana , United States,1996
46,Bulls On Parade ,Rage Against the Machine , United States,1996
47,"Hail, Hail ",Pearl Jam , United States,1996
48,Popular ,Nada Surf , United States,1996
49,Pass the Vibes ,Definition of Sound , United Kingdom,1996
50,Mach 5 ,The Presidents of the United States of America , United States,1996
51,Only Happy When It Rains ,Garbage , United States,1996
52,Until It Sleeps ,Metallica , United States,1996
53,Hyperballad ,Björk , Iceland,1996
54,If I Could Talk I'd Tell You ,The Lemonheads , United States,1996
55,"Tonight, Tonight ",The Smashing Pumpkins , United States,1996
56,Susan's House ,Eels , United States,1996
57,So Rude ,Rebecca's Empire , Australia,1996
58,Heartspark Dollarsign ,Everclear , United States,1996
59,Silver Lizard ,Tumbleweed , Australia,1996
60,Hey Dude ,Kula Shaker , United Kingdom,1996
61,I'll Be Your Majick ,Def FX , Australia,1996
62,Hero of the Day ,Metallica , United States,1996
63,Punk Rock Song ,Bad Religion , United States,1996
64,Wombo Lombo ,Angélique Kidjo , Benin,1996
65,Here In Your Bedroom ,Goldfinger , United States,1996
66,What’s Come Over Me ,Frente! , Australia,1996
67,Everything Is Good For You ,Crowded House , Australia,1996
68,Theme From Mission: Impossible ,Adam Clayton and Larry Mullen Jr. , Ireland,1996
69,Speculator ,Insurge , Australia,1996
70,Dont It Get You Down ,deadstar , Australia,1996
71,Disco 2000 ,Pulp , United Kingdom,1996
72,Punch in The Face ,Frenzal Rhomb , Australia,1996
73,Gold Dust Woman ,Hole , United States,1996
74,Lay Lady Lay ,Ministry , United States,1996
75,Surf's Up Tonight - Remastered,Midnight Oil , Australia,1996
76,In the Meantime ,Spacehog , United Kingdom,1996
77,Burden In My Hand ,Soundgarden , United States,1996
78,How Bizarre ,OMC , New Zealand,1996
79,I Make Hamburgers ,The Whitlams , Australia,1996
80,Soldiers ,You Am I , Australia,1996
81,Shut My Eyes ,The Superjesus , Australia,1996
82,Naked Eye ,Luscious Jackson , United States,1996
83,Waking Up Tired ,Hoodoo Gurus , Australia,1996
84,Good Mornin' ,You Am I , Australia,1996
85,Goldfinger ,Ash , United Kingdom,1996
86,Woman ,Neneh Cherry , Sweden,1996
87,E-Bow The Letter ,R.E.M. , United States,1996
88,Grooving ,Hunting Party , Australia,1996
89,Cromagnon Man ,Snout , Australia,1996
90,Leaving Here ,Pearl Jam , United States,1996
91,Set The Controls For the Heart Of The Pelvis ,Barry Adamson , United Kingdom,1996
92,Thunder ,The Mavis's , Australia,1996
93,All I Want ,Skunk Anansie , United Kingdom,1996
94,Mankind ,Pearl Jam , United States,1996
95,Creep ,Frank Bennett , Australia,1996
96,Ella’s Uncle ,Matthew Trapnell , Australia,1996
97,Hail Caesar ,AC/DC , Australia,1996
98,Professional Widow ,Tori Amos , United States,1996
99,Ready to Go ,Republica , United Kingdom,1996
100,Gold to Me ,Ben Harper , United States,1996
1,Wonderwall ,Oasis , United Kingdom,1995
2,Bullet with Butterfly Wings ,The Smashing Pumpkins , United States,1995
3,Gangsta's Paradise (feat. L.V.),Coolio , United States,1995
4,Kitty ,The Presidents of the United States of America , United States,1995
5,It's Oh so Quiet ,Björk , Iceland,1995
6,Heroin Girl ,Everclear , United States,1995
7,Apartment ,Custard , Australia,1995
8,Where The Wild Roses Grow (feat. Kylie Minogue) [2011 - Remaster] ,Nick Cave and the Bad Seeds and Kylie Minogue , Australia,1995
9,(He'll Never Be An) Ol' Man River ,TISM , Australia,1995
10,Greg! The Stop Sign!! ,TISM , Australia,1995
11,Lump ,The Presidents of the United States of America , United States,1995
12,The Reefer Song ,Mindless Drug Hoover , United Kingdom,1995
13,Morning Glory ,Oasis , United Kingdom,1995
14,Last Goodbye ,Jeff Buckley , United States,1995
15,Vow ,Garbage , United States,1995
16,Rock 'N' Roll Is Where I Hide ,Dave Graney 'n' The Coral Snakes , Australia,1995
17,Blubber Boy - Riding the Wave of Fashion Mix,Regurgitator , Australia,1995
18,I Kissed a Girl ,Jill Sobule , United States,1995
19,I Got A Girl ,Tripping Daisy , United States,1995
20,My Friends ,Red Hot Chili Peppers , United States,1995
21,Queer ,Garbage , United States,1995
22,Lightning Crashes ,Live , United States,1995
23,Miss Sarajevo ,Passengers , Ireland/ United Kingdom,1995
24,Purple Sneakers ,You Am I , Australia,1995
25,Political Prisoners ,Insurge , Australia,1995
26,Downtown ,Neil Young , Canada,1995
27,Drugs ,Ammonia , Australia,1995
28,Aeroplane ,Red Hot Chili Peppers , United States,1995
29,Evidence ,Faith No More , United States,1995
30,Carnival ,Natalie Merchant , United States,1995
31,Time Bomb ,Rancid , United States,1995
32,Apple Eyes ,Swoop , Australia,1995
33,Everything Zen ,Bush , United Kingdom,1995
34,I Alone ,Live , United States,1995
35,I Got Id ,Pearl Jam , United States,1995
36,Black Steel ,Tricky , United Kingdom,1995
37,This Is a Call ,Foo Fighters , United States,1995
38,Common People ,Pulp , United Kingdom,1995
39,You Oughta Know ,Alanis Morissette , Canada,1995
40,Wynona's Big Brown Beaver ,Primus , United States,1995
41,I Can Dream ,Skunk Anansie , United Kingdom,1995
42,The Diamond Sea ,Sonic Youth , United States,1995
43,Monty ,Spiderbait , Australia,1995
44,Better Man ,Pearl Jam , United States,1995
45,Glory Box ,Portishead , United Kingdom,1995
46,Geek Stink Breath ,Green Day , United States,1995
47,Island Home ,Christine Anu , Australia,1995
48,I Wanna Be A Hippy ,Technohead , United Kingdom,1995
49,More Human Than Human ,White Zombie , United States,1995
50,Summer ,Buffalo Tom , United States,1995
51,Psychoactive Summer ,Def FX , Australia,1995
52,You Suck ,The Murmurs , United States,1995
53,Country House ,Blur , United Kingdom,1995
54,Who Farted? ,The Vaughans , Australia,1995
55,Up To Our Necks In It ,Skunkhour , Australia,1995
56,Chuck ,Phunk Junkeez , United States,1995
57,"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2 , Ireland,1995
58,Lemonsuck ,Pollyanna , Australia,1995
59,Supermodel ,Jill Sobule , United States,1995
60,Sparky's Dream ,Teenage Fanclub , United Kingdom,1995
61,Sad Song ,The Screaming Jets , Australia,1995
62,Empty ,Rebecca's Empire , Australia,1995
63,Smash It Up ,The Offspring , United States,1995
64,Stayin' Alive (Radio Version) ,N-Trance , United Kingdom,1995
65,Boombastic ,Shaggy , Jamaica,1995
66,Fire in the Head ,The Tea Party , Canada,1995
67,Baby Did A Bad Bad Thing ,Chris Isaak , United States,1995
68,Pale Grey Eyes ,Pollyanna , Australia,1995
69,(Let's Go) Smoke Some Pot ,Dash Rip Rock , United States,1995
70,I'll Stick Around ,Foo Fighters , United States,1995
71,All Over You ,Live , United States,1995
72,Immune Deficiency ,Rail , Australia,1995
73,Dredd Song - From Judge Dredd Ost,The Cure , United Kingdom,1995
74,Sickfest ,Grinspoon , Australia,1995
75,Warped ,Red Hot Chili Peppers , United States,1995
76,21st Century (Digital Boy) ,Bad Religion , United States,1995
77,Heart of the Party ,Severed Heads , Australia,1995
78,Trick with a Knife ,Strawpeople , New Zealand,1995
79,Alright ,Supergrass , United Kingdom,1995
80,Brain Stew ,Green Day , United States,1995
81,Devil's Diary ,The Caulfields , United States,1995
82,Sunday ,Mr Blonde , Australia,1995
83,Army Of Me ,Björk , Iceland,1995
84,Cathy's Clown ,You Am I , Australia,1995
85,Hand in My Pocket ,Alanis Morissette , Canada,1995
86,Waterfalls ,TLC , United States,1995
87,Jailbreak ,Yothu Yindi , Australia,1995
88,Grind ,Alice in Chains , United States,1995
89,Grace ,Jeff Buckley , United States,1995
90,All I Really Want ,Alanis Morissette , Canada,1995
91,Digging the Grave ,Faith No More , United States,1995
92,Sick of Myself ,Matthew Sweet , United States,1995
93,All Homeboys Are Dickheads ,TISM , Australia,1995
94,Jewels and Bullets ,You Am I , Australia,1995
95,Protection ,Massive Attack , United Kingdom,1995
96,Hang Around ,Tumbleweed , Australia,1995
97,Tingly ,Pop! featuring Angie Hart , Australia,1995
98,By Myself ,Hecate , Australia,1995
99,When I Come Around ,Green Day , United States,1995
100,Talking Seattle Grunge Rock Blues ,Todd Snider , United States,1995
1,Zombie ,The Cranberries , Ireland,1994
2,Closer ,Nine Inch Nails , United States,1994
3,Self Esteem ,The Offspring , United States,1994
4,Come Out and Play ,The Offspring , United States,1994
5,Tomorrow ,Silverchair , Australia,1994
6,Seether ,Veruca Salt , United States,1994
7,About a Girl ,Nirvana , United States,1994
8,Coma ,Max Sharam , Australia,1994
9,If I Only Knew ,Tom Jones , United Kingdom,1994
10,Dead Eyes Opened - (Album Version),Severed Heads , Australia,1994
11,Do You Love Me? - 1998 Digital Remaster,Nick Cave and the Bad Seeds , Australia,1994
12,Laid ,James , United Kingdom,1994
13,Bug Powder Dust ,Bomb the Bass , United Kingdom,1994
14,Better Get A Lawyer ,The Cruel Sea , Australia,1994
15,All I Wanna Do ,Sheryl Crow , United States,1994
16,Sabotage - 2009 Digital Remaster,Beastie Boys , United States,1994
17,Interstate Love Song ,Stone Temple Pilots , United States,1994
18,Longview ,Green Day , United States,1994
19,Losin' It ,Underground Lovers , Australia,1994
20,Time Bomb ,Nick Barker , Australia,1994
21,Sweetness and Light ,Itch-E and Scratch-E , Australia,1994
22,Black Hole Sun ,Soundgarden , United States,1994
23,Berlin Chair ,You Am I , Australia,1994
24,Basket Case ,Green Day , United States,1994
25,Today - 2011 - Remaster,The Smashing Pumpkins , United States,1994
26,7 Seconds ,Youssou N'Dour and Neneh Cherry , Senegal/ Sweden,1994
27,I Alone ,Live , United States,1994
28,Doll Parts ,Hole , United States,1994
29,Beercan ,Beck , United States,1994
30,Confide in Me - Master Mix,Kylie Minogue , Australia,1994
31,Fall ,Single Gun Theory , Australia,1994
32,Fade into You ,Mazzy Star , United States,1994
33,Supernova ,Liz Phair , United States,1994
34,Miss World ,Hole , United States,1994
35,Cornflake Girl ,Tori Amos , United States,1994
36,Spin The Black Circle ,Pearl Jam , United States,1994
37,Voodoo People ,The Prodigy , United Kingdom,1994
38,Atomic Electric ,Rebecca's Empire , Australia,1994
39,Mathar ,The Dave Pike Set , United States,1994
40,Undone – The Sweater Song ,Weezer , United States,1994
41,Your Ghost ,Kristin Hersh , United States,1994
42,Absolutely Fabulous ,Pet Shop Boys , United Kingdom,1994
43,Monkey & the Turtle ,Christine Anu , Australia,1994
44,Swamp Thing ,The Grid , United Kingdom,1994
45,Loser ,Beck , United States,1994
46,My Wave ,Soundgarden , United States,1994
47,Einstein On The Beach (For An Eggman) ,Counting Crows , United States,1994
48,Mr. Jones ,Counting Crows , United States,1994
49,Amen (Testament Remix) ,Falling Joys , Australia,1994
50,Daddy Long Legs ,Tumbleweed , Australia,1994
51,Spoonman ,Soundgarden , United States,1994
52,Lap It Up ,Penny Flanagan , Australia,1994
53,Fell On Black Days ,Soundgarden , United States,1994
54,Vasoline ,Stone Temple Pilots , United States,1994
55,La Di Doh ,Ed Kuepper , Australia,1994
56,Bizarre Love Triangle ,Frente! , Australia,1994
57,Burn ,The Cure , United Kingdom,1994
58,Everything's Cool ,Pop Will Eat Itself , United Kingdom,1994
59,Sometimes Always ,The Jesus and Mary Chain , United Kingdom,1994
60,Cut Your Hair ,Pavement , United States,1994
61,Hey Jealousy ,Gin Blossoms , United States,1994
62,Lemon Sparked ,Pale , Australia,1994
63,Parklife ,Blur , United Kingdom,1994
64,A Conspiracy ,The Black Crowes , United States,1994
65,Bull In The Heather ,Sonic Youth , United States,1994
66,Hobo Humpin' Slobo Babe ,Whale , Sweden,1994
67,Andres ,L7 , United States,1994
68,Feel The Pain ,Dinosaur Jr. , United States,1994
69,Mmm Mmm Mmm Mmm ,Crash Test Dummies , Canada,1994
70,"What's the Frequency, Kenneth? ",R.E.M. , United States,1994
71,Dropout ,Urge Overkill , United States,1994
72,Lucas with the Lid Off ,Lucas , Denmark,1994
73,Alone Like Me ,The Sharp , Australia,1994
74,Neighbourhood Freak ,Swoop , Australia,1994
75,You Got Me Floatin' ,P.M. Dawn , United States,1994
76,American Life in the Summertime ,Francis Dunnery , United Kingdom,1994
77,Jaimme's Got a Gal ,You Am I , Australia,1994
78,Low ,Cracker , United States,1994
79,I'm Gonna Release Your Soul ,Dave Graney 'n' the Coral Snakes , Australia,1994
80,No Excuses ,Alice in Chains , United States,1994
81,In the Neighbourhood ,Sisters Underground , New Zealand,1994
82,Piece of Crap ,Neil Young , Canada,1994
83,Am I Wrong,Love Spit Love , United States,1994
84,Saints ,The Breeders , United States,1994
85,Blues Music ,G. Love & Special Sauce , United States,1994
86,Thirsty Dog ,Nick Cave and the Bad Seeds , Australia,1994
87,"The More You Ignore Me, the Closer I Get ",Morrissey , United Kingdom,1994
88,Purple Haze - From Stone Free: A Tribute To Jimi Hendrix,The Cure , United Kingdom,1994
89,Regulate ,Warren G and Nate Dogg , United States,1994
90,Dancing In The Moonlight ,The Smashing Pumpkins , United States,1994
91,Round Here ,Counting Crows , United States,1994
92,Shine ,Collective Soul , United States,1994
93,Wildflowers ,Things of Stone and Wood , Australia,1994
94,Gallows Pole ,Page and Plant , United Kingdom,1994
95,Masses Like Asses ,Def FX , Australia,1994
96,Girls And Boys,Blur , United Kingdom,1994
97,Here Comes the Hotstepper ,Ini Kamoze , Jamaica,1994
98,A Certain Slant Of Light ,The Tea Party , Canada,1994
99,Agolo ,Angélique Kidjo , Benin,1994
100,Stay ,Lisa Loeb and Nine Stories , United States,1994
1,Asshole ,Denis Leary , United States,1993
2,Creep ,Radiohead , United Kingdom,1993
3,Linger ,The Cranberries , Ireland,1993
4,No Rain ,Blind Melon , United States,1993
5,Cannonball ,The Breeders , United States,1993
6,Killing In the Name,Rage Against the Machine , United States,1993
7,Lemon ,U2 , Ireland,1993
8,Why Go,Pearl Jam , United States,1993
9,The Honeymoon Is Over ,The Cruel Sea , Australia,1993
10,Stone Me Into The Groove,Atomic Swing , Sweden,1993
11,Everybody Hurts ,R.E.M. , United States,1993
12,Plush ,Stone Temple Pilots , United States,1993
13,Soul To Squeeze ,Red Hot Chili Peppers , United States,1993
14,I Held Her In My Arms ,Violent Femmes , United States,1993
15,Wild America ,Iggy Pop , United States,1993
16,Sister Havana ,Urge Overkill , United States,1993
17,Hits from the Bong ,Cypress Hill , United States,1993
18,Go West - 2001 Remastered Version; Contains Hidden Track 'Postscript',Pet Shop Boys , United Kingdom,1993
19,"Buffalo Stance - 12"" Version",Neneh Cherry and Michael Stipe , Sweden/ United States,1993
20,Heart-Shaped Box ,Nirvana , United States,1993
21,Black Stick ,The Cruel Sea , Australia,1993
22,The Ship Song - 1998 Digital Remaster,Nick Cave and the Bad Seeds , Australia,1993
23,Human Behaviour ,Björk , Iceland,1993
24,What's Up? ,4 Non Blondes , United States,1993
25,Feed the Tree ,Belly , United States,1993
26,Somewhere ,Efua , United Kingdom,1993
27,Sober ,Tool , United States,1993
28,Are You Gonna Go My Way ,Lenny Kravitz , United States,1993
29,All That She Wants ,Ace of Base , Sweden,1993
30,Constant Craving ,k.d. lang , Canada,1993
31,Numb ,U2 , Ireland,1993
32,Jessie ,Paw , United States,1993
33,Pets ,Porno for Pyros , United States,1993
34,Cantaloop (Flip Fantasia) ,Us3 , United Kingdom,1993
35,Shoop ,Salt-N-Pepa , United States,1993
36,The Right Time ,Hoodoo Gurus , Australia,1993
37,My Sister ,The Juliana Hatfield Three , United States,1993
38,Get Me ,Dinosaur Jr. , United States,1993
39,Friday I'm In Love ,The Cure , United Kingdom,1993
40,Push th' Little Daisies ,Ween , United States,1993
41,World Turning (Räwak Mix) ,Yothu Yindi , Australia,1993
42,Dreams ,Gabrielle , United Kingdom,1993
43,Cherub Rock ,The Smashing Pumpkins , United States,1993
44,Juice ,Headless Chickens , New Zealand,1993
45,Start Choppin',Dinosaur Jr. , United States,1993
46,Detachable Penis ,King Missile , United States,1993
47,Tease Me ,Chaka Demus & Pliers , Jamaica,1993
48,Night of the wolverine 2,Dave Graney 'n' the Coral Snakes , Australia,1993
49,Bi ,Living Colour , United States,1993
50,Adam's Ribs ,You Am I , Australia,1993
51,Would? ,Alice in Chains , United States,1993
52,Runaway Train ,Soul Asylum , United States,1993
53,Taillights Fade ,Buffalo Tom , United States,1993
54,Holy Grail ,Hunters & Collectors , Australia,1993
55,Alive And Brilliant ,Deborah Conway , Australia,1993
56,Can You Forgive Her? - 2001 Remastered Version,Pet Shop Boys , United Kingdom,1993
57,Choppers (Koppelman Mix) ,Headless Chickens , New Zealand,1993
58,Jesus was Way Cool ,King Missile , United States,1993
59,"You're Just Too Hip, Baby ",Dave Graney 'n' the Coral Snakes , Australia,1993
60,Distant Sun ,Crowded House , Australia,1993
61,Last Train (Master Mix) ,Christine Anu and Paul Kelly , Australia,1993
62,Easy ,Faith No More , United States,1993
63,Scratch My Back ,The Sharp , Australia,1993
64,Nearly Lost You ,Screaming Trees , United States,1993
65,Regret ,New Order , United Kingdom,1993
66,Something Good ,Utah Saints , United Kingdom,1993
67,Boom Shack-A-Lak ,Apache Indian , United Kingdom,1993
68,Mr. Vain Recall - Radio Edit,Culture Beat , Germany,1993
